M0085	TFAP2E
M0104	ARID3B
M0105	ARID3C
M0108	ARID5A
M0177	TWIST2
M0178	ASCL2
M0189	ID2
M0195	TCF23
M0196	NPAS2
M0198	SOHLH2
M0199	HES2
M0211	MLXIP
M0212	TCFL5
M0214	TCF21
M0216	NHLH2
M0217	NEUROG1
M0300	ATF2
M0305	CREB3L2
M0307	ENSG00000250542
M0395	ZNF187
M0396	OSR2
M0398	ZSCAN10
M0404	ZNF202
M0405	KLF7
M0408	ZKSCAN1
M0413	ZBTB1
M0415	KLF9
M0422	ZIC5
M0424	SNAI3
M0428	ZNF691
M0431	OSR1
M0432	ZFP161
M0433	ZBTB12
M0436	ZNF35
M0437	ZNF32
M0442	ZBTB3
M0443	KLF12
M0594	LIN54
M0603	CGBP
M0607	KDM2B
M0608	MLL
M0609	DNMT1
M0610	TET1
M0629	DMRT3
M0630	DMRT1
M0632	DMRTA2
M0633	DMRT2
M0635	DMRTC2
M0714	ENSG00000235187
M0718	FOXK1
M0719	FOXG1
M0728	FOXJ1
M0736	FOXK2
M0737	FOXB2
M0747	FOXL2
M0756	FOXN3
M0887	HOXA2
M0890	LHX6
M0891	TLX2
M0892	EMX1
M0893	ZFHX2
M0894	LBX1
M0896	VENTX
M0897	HOXB13
M0898	ZHX1
M0900	SHOX
M0901	AC226150.2
M0905	HOXA4
M0906	VTN
M0931	LHX1
M0937	SIX6
M0942	IRX4
M0943	OTP
M0949	AC012531.1
M0952	SIX2
M0958	LHX4
M0961	BARHL1
M0969	LHX8
M0975	LHX5
M0994	SIX4
M0996	HDX
M0999	NKX6-1
M1007	HOXA11
M1012	HOXB4
M1016	SIX3
M1018	HLX
M1025	HOXD1
M1027	HOXA6
M1030	NKX2-3
M1034	DBX2
M1039	ENSG00000229544
M1049	SIX1
M1070	HOXC5
M1071	HOXD3
M1073	HOXA3
M1110	HHEX
M1125	NKX1-1
M1157	HOXB9
M1163	NKX6-3
M1266	IRF6
M1281	NAIF1
M1358	TERF2
M1359	MYPOP
M1418	C11orf9
M1432	NR2E1
M1458	RORB
M1507	LCOR
M1528	RFX6
M1529	RFX7
M1545	GMEB1
M1581	CIC
M1582	HMG20B
M1583	BBX
M1589	SOX30
M1592	SOX3
M1594	SOX12
M1601	SOX11
M1605	SOX1
M1628	TBX10
M1668	PRKRIR
M1838	TFAP2A
M1841	AR
M1863	FOXD1
M1868	GATA2
M1871	KLF2
M1882	IRF1
M1884	MEF2A
M1889	MAX
M1890	NFYA
M1906	SP1
M1915	ZNF76
M1917	USF1
M1919	YY1
M1925	CEBPA
M1926	ZEB1
M1927	MYCL1
M1928	NFKB1
M1929	TP53
M1934	ESR1
M1950	ZNF354C
M1955	STAT1
M1963	ZFY
M1968	EBF1
M1970	NFIC
M2065	ESR2
M2264	ATOH1
M2267	CDX2
M2268	CEBPB
M2270	DUX4
M2273	E2F6
M2275	ELF1
M2277	FLI1
M2278	FOS
M2281	FOXH1
M2283	FOXP1
M2286	HNF4G
M2287	HOXC9
M2289	JUN
M2292	JUND
M2296	MAFK
M2299	MYF5
M2301	NFYB
M2303	NR2C2
M2305	NRF1
M2306	POU2F2
M2307	PRDM1
M2310	RUNX2
M2313	SOX6
M2314	SP2
M2319	TCF7L2
M2321	TP63
M2323	ZBTB33
M2385	FOXP2
M2387	SREBF1
M2388	SREBF2
M2390	EHF
M2391	KLF5
M2392	RFX2
M4344	ARID2
M4427	CTCF
M4428	NR3C1
M4438	ESRRA
M4444	RELA
M4451	ATF3
M4452	BATF
M4453	BCL11A
M4454	BRCA1
M4459	EGR1
M4461	ETS1
M4462	GABPA
M4463	IRF4
M4467	MEF2C
M4469	REST
M4471	PAX5
M4473	PBX3
M4476	RFX5
M4477	SRF
M4478	STAT3
M4479	TCF12
M4481	USF2
M4484	ZNF143
M4509	POU5F1
M4511	RXRA
M4522	ELK4
M4525	TFAP2C
M4526	SMARCC1
M4527	SMARCC2
M4532	MYC
M4536	E2F1
M4537	E2F4
M4543	MXI1
M4545	ZNF683
M4551	ZNF274
M4553	BHLHE40
M4565	FOSL2
M4567	FOXA2
M4569	HSF1
M4572	MAFF
M4600	GATA1
M4604	ZNF263
M4612	CTCFL
M4619	FOSL1
M4623	JUNB
M4629	NFE2
M4635	STAT2
M4636	THAP1
