M0189	ID1
M0198	SOHLH2
M0211	MLXIP
M0212	TCFL5
M0384	OSR1
M0395	ZSCAN26
M0398	ZSCAN10
M0404	ZNF202
M0408	ZKSCAN1
M0413	ZBTB1
M0428	ZNF691
M0432	ZBTB14
M0436	ZNF35
M0437	ZNF32
M0442	ZBTB3
M0594	LIN54
M0607	KDM2B
M0608	KMT2A
M0609	DNMT1
M0610	TET1
M0629	DMRT3
M0631	DMRT1
M0632	DMRTA2
M0633	DMRT2
M0635	DMRTC2
M0820	TFCP2L1
M0893	ZFHX2
M0894	LBX1
M0898	ZHX1
M0906	VTN
M0938	SIX3
M0983	DBX2
M0996	HDX
M1066	TLX3
M1106	HLX
M1110	HHEX
M1266	IRF6
M1295	NAIF1
M1358	TERF2
M1359	MYPOP
M1418	MYRF
M1508	LCOR
M1545	GMEB1
M1581	CIC
M1582	HMG20B
M1583	BBX
M1589	SOX30
M1592	SOX3
M1594	SOX12
M1668	PRKRIR
M1862	FOXF2
M1863	FOXD1
M1868	GATA2
M1901	RREB1
M1903	ELK4
M1927	MYCL
M1950	ZNF354C
M1954	LHX1
M1965	FOXA1
M1970	NFIC
M1972	PLAG1
M2053	SIX1
M2065	ESR2
M2191	TBPL2
M2264	ATOH1
M2267	CDX2
M2268	CEBPB
M2270	DUX4
M2281	FOXH1
M2283	FOXP1
M2301	NFYB
M2306	POU2F2
M2313	SOX6
M2319	TCF7L2
M2323	ZBTB33
M2329	SMAD5
M2385	FOXP2
M2391	KLF5
M2917	AHR
M2942	KLF12
M2943	TFAP4
M2957	ARNT
M2960	NR2F2
M2980	BACH2
M3016	ALX1
M3018	CDC5L
M3040	CEBPA
M3068	MYB
M3088	ATF2
M3091	REL
M3133	E2F1
M3154	TCF3
M3156	NFIL3
M3176	EGR2
M3225	MECOM
M3295	FOXC1
M3298	FOXL1
M3339	NR6A1
M3341	GFI1
M3407	HNF1A
M3411	FOXA2
M3428	HOXA5
M3433	HOXA3
M3447	XBP1
M3452	IKZF1
M3467	IRF1
M3471	IRF2
M3516	LMO2
M3524	TOPORS
M3546	PATZ1
M3550	MEF2A
M3574	ARID5B
M3589	MYOD1
M3602	TLX2
M3623	RELA
